;precision;recall;f1-score;support
0;0.8571428571428571;0.8571428571428571;0.8571428571428571;7.0
1;1.0;0.8;0.888888888888889;5.0
2;1.0;1.0;1.0;7.0
3;1.0;1.0;1.0;2.0
4;1.0;0.7777777777777778;0.8750000000000001;9.0
5;1.0;1.0;1.0;3.0
6;1.0;1.0;1.0;2.0
7;1.0;1.0;1.0;2.0
8;1.0;1.0;1.0;2.0
9;0.6666666666666666;0.6666666666666666;0.6666666666666666;3.0
10;1.0;1.0;1.0;2.0
11;1.0;1.0;1.0;7.0
12;1.0;1.0;1.0;5.0
13;1.0;1.0;1.0;2.0
14;0.8;1.0;0.888888888888889;4.0
15;1.0;1.0;1.0;3.0
16;1.0;1.0;1.0;3.0
17;1.0;1.0;1.0;6.0
18;1.0;1.0;1.0;2.0
19;1.0;1.0;1.0;6.0
20;1.0;1.0;1.0;4.0
21;0.75;1.0;0.8571428571428571;3.0
22;1.0;1.0;1.0;2.0
23;0.0;0.0;0.0;1.0
24;0.5;0.6666666666666666;0.5714285714285715;3.0
25;0.75;1.0;0.8571428571428571;3.0
avg / total;0.9306122448979592;0.9285714285714286;0.925838192419825;98.0
